gruppe,datum,coherence_C,window_n
andere,2025-12-09,0.9569865415025766,30
andere,2025-12-09,0.9572449887128109,30
andere,2025-12-09,0.9574062436696605,30
andere,2025-12-10,0.9566033031101135,30
andere,2025-12-10,0.9628591830375963,30
andere,2025-12-10,0.9593581349615912,30
andere,2025-12-10,0.9591813270004441,30
andere,2025-12-10,0.9566613571397429,30
andere,2025-12-10,0.9561852829586495,30
andere,2025-12-10,0.9516927287357771,30
andere,2025-12-10,0.9516242081121424,30
andere,2025-12-10,0.9511633200463299,30
andere,2025-12-11,0.9512598782083617,30
andere,2025-12-11,0.9502579975572452,30
andere,2025-12-11,0.9521051620950648,30
andere,2025-12-11,0.9498919384882767,30
andere,2025-12-11,0.9498363687431257,30
andere,2025-12-11,0.9498245775268315,30
andere,2025-12-11,0.9501208075060532,30
andere,2025-12-11,0.9522119961316076,30
andere,2025-12-11,0.951643865324195,30
andere,2025-12-11,0.9532750820817067,30
andere,2025-12-12,0.9546169080828576,30
andere,2025-12-12,0.9560438481301846,30
andere,2025-12-12,0.9562976174080551,30
andere,2025-12-12,0.9563585418049478,30
andere,2025-12-12,0.9557306788022021,30
andere,2025-12-12,0.9571243241469971,30
andere,2025-12-12,0.9572606718342338,30
andere,2025-12-12,0.9575164664830107,30
andere,2025-12-12,0.9574434535565787,30
andere,2025-12-12,0.9576521540056622,30
andere,2025-12-12,0.9524432180755532,30
andere,2025-12-12,0.9523317684251271,30
andere,2025-12-12,0.9598068764637779,30
andere,2025-12-12,0.9625754038859227,30
andere,2025-12-12,0.8995170324709212,30
andere,2025-12-12,0.9015370615062843,30
andere,2025-12-12,0.902092375936029,30
andere,2025-12-12,0.9068668786580381,30
andere,2025-12-12,0.906983854045043,30
andere,2025-12-15,0.9035240985382248,30
andere,2025-12-15,0.9033109162815258,30
andere,2025-12-15,0.9044396181256797,30
andere,2025-12-15,0.902913525413575,30
andere,2025-12-15,0.9029574674631392,30
andere,2025-12-15,0.9030569911739423,30
andere,2025-12-15,0.9032986321013661,30
andere,2025-12-15,0.9042086984655638,30
andere,2025-12-15,0.9039031091125553,30
andere,2025-12-15,0.9034938950015923,30
andere,2025-12-15,0.9034401751034103,30
andere,2025-12-15,0.904534823899568,30
andere,2025-12-15,0.9041869055623116,30
andere,2025-12-15,0.9026970509833875,30
andere,2025-12-15,0.8960913795483186,30
andere,2025-12-15,0.8966063643167409,30
andere,2025-12-15,0.8963904399932875,30
andere,2025-12-15,0.8970438223840963,30
andere,2025-12-15,0.8973681475609668,30
andere,2025-12-15,0.8973405985732253,30
andere,2025-12-15,0.8958512216230222,30
andere,2025-12-15,0.9006337093602411,30
andere,2025-12-15,0.8999422617006293,30
andere,2025-12-15,0.8995435643070586,30
andere,2025-12-15,0.8997375198612506,30
andere,2025-12-15,0.9634902357393089,30
andere,2025-12-15,0.9629182830925131,30
andere,2025-12-16,0.9627425765615244,30
andere,2025-12-16,0.9612693377972578,30
andere,2025-12-16,0.9611168195756953,30
andere,2025-12-16,0.9641057726387167,30
andere,2025-12-16,0.95991218578366,30
andere,2025-12-16,0.9594763306989017,30
