gruppe,datum,lehrkraft_id,id,mtr_rueckkopplung_datenmaske_values_id,token_anzahl,funktionsklassen_anzahl_gesamt,dominante_dimension,dominante_dimension_wert,polaritaet_gesamt,d_semantisch,kognition,sozial,affektiv,motivation,methodik,performanz,regulation
LK_1,2025-11-20,1,1151,1713,6,4,regulation,-1.714629390413,-1,2.941057220359,-0.59994951625383,-0.53653731799395,-0.77481297481578,-1.0970933730009,-0.75820805993909,-1.6380547714049,-1.714629390413
LK_1,2025-11-20,1,1153,1715,11,7,regulation,2.1700224502411,1,4.770377344071,1.8998306409416,1.2698039128436,1.4331823847506,2.0522145758303,1.7444118346327,1.8754133056277,2.1700224502411
LK_1,2025-11-20,1,1321,1887,11,4,kognition,2.0311230831007,1,3.8229300313861,2.0311230831007,0.795,1.1914013414792,1.309239540005,1.5922099905934,1.6023228558313,1.273260196548
LK_1,2025-11-20,1,1322,1888,9,6,regulation,1.9314534685559,1,3.8268397507859,1.8043684583573,-0.42980038250233,-0.18390624392484,1.2919311368132,1.8314529707502,1.5545380412819,1.9314534685559
LK_1,2025-11-20,1,1323,1889,9,6,kognition,1.7426836415184,1,4.0273551720063,1.7426836415184,1.1055566091224,1.2382604748483,1.6911017735723,1.4885099981387,1.6325666011183,1.6390052035608
LK_1,2025-11-20,1,1822,2393,11,6,performanz,2.1839343719722,1,4.6687650182457,1.9397461854947,0.795,1.0844387503441,2.0390133560675,1.8030223901748,2.1839343719722,2.0121343348373
LK_1,2025-11-20,1,1824,2395,7,6,kognition,1.5129679549924,1,2.744584432155,1.5129679549924,-0.397,-0.23814073229467,0.92589647599241,1.3418832717268,1.2475848714798,0.90274506549483
LK_1,2025-11-20,1,2823,3584,11,7,kognition,2.1296197107404,1,3.4996579219887,2.1296197107404,0.60502627306551,0.72403920535512,1.2693488546353,1.4317814377558,1.3629189690952,1.1415967676848
LK_1,2025-11-20,1,2979,3745,7,5,performanz,1.4184744132636,1,3.0897609457499,1.3420592199112,1.0,0.14947056594351,1.2958296281454,1.2501896469921,1.4184744132636,1.2119983755517
LK_1,2025-11-20,1,2981,3747,4,3,regulation,2.3355059637241,1,4.1428655878915,1.6216459091988,0.68817381515024,0.61559958811955,1.7161783507804,1.4865922887091,1.7524956207178,2.3355059637241
LK_other,2025-11-20,23,1529,2097,8,5,kognition,0.89494055548965,1,1.272465244786,0.89494055548965,-0.63123051275355,0.089913565935308,-0.044680202039952,0.37290352505291,0.51403743419756,0.080155776773426
LK_1,2025-11-24,1,1045,1605,11,4,kognition,2.0311230831007,1,3.8229300313861,2.0311230831007,0.795,1.1914013414792,1.309239540005,1.5922099905934,1.6023228558313,1.273260196548
LK_1,2025-11-24,1,1048,1608,8,7,regulation,2.3371925602628,1,4.7275916595967,2.1979767777828,0.37061934137972,0.44056328863695,1.8893691294467,1.942968303271,2.0929060366262,2.3371925602628
LK_1,2025-11-24,1,1095,1655,4,4,motivation,1.7428507324927,1,3.4354817233601,1.2003140716273,0.795,0.75,1.7428507324927,1.2534277554328,1.5064033497228,1.5130746627642
LK_1,2025-11-24,1,1218,1782,5,5,performanz,1.7604404508269,1,3.1211655051097,1.142816140348,0.63138282916163,0.81095667845437,1.5108717263958,0.80238847845301,1.7604404508269,1.1634599879125
LK_1,2025-11-24,1,1265,1830,4,4,performanz,1.7604404508269,1,3.1211655051097,1.142816140348,0.63138282916163,0.81095667845437,1.5108717263958,0.80238847845301,1.7604404508269,1.1634599879125
LK_1,2025-11-24,1,1266,1831,7,6,regulation,2.0112494314314,1,4.1408141954246,1.7686831862395,0.51871591536748,0.57613352612514,1.8195191088035,1.6494081853432,1.8277813114132,2.0112494314314
LK_1,2025-11-24,1,1866,2438,2,2,regulation,1.093651904426,1,1.6032426194262,0.38532339625734,0.397,0.353,0.68310328427165,0.361,0.58878620228737,1.093651904426
LK_other,2025-11-24,12,2279,2856,9,5,kognition,2.2065262410316,1,3.9027212950711,2.2065262410316,0.30051506820394,1.1795308876966,1.2467162179745,1.6755727127168,1.6994290791481,1.2770938080566
LK_other,2025-11-24,12,2280,2857,12,6,regulation,1.6547937848958,1,3.414990033546,1.2246722505097,1.0,-0.14062248630245,1.5420600652216,1.5704684184992,1.2489585083626,1.6547937848958
LK_other,2025-11-24,21,2658,3367,7,5,kognition,1.5987188600177,1,3.2698876076559,1.5987188600177,0.62702809870591,0.82668298924815,1.3354645895672,1.5281905507102,1.3240163232508,1.0898819745936
LK_1,2025-11-25,1,1316,1882,10,5,motivation,1.376852504409,1,2.4862506965683,0.62692950024605,0.795,0.74859199099376,1.376852504409,0.45507923752819,1.2707328728139,0.93723262509945
LK_1,2025-11-25,1,1317,1883,5,5,performanz,1.8141456071411,1,3.4320363619564,1.3661295621877,0.69428084243753,0.9330708531973,1.6243328553418,1.1514117786172,1.8141456071411,1.1421847096923
LK_1,2025-11-25,1,1318,1884,7,5,kognition,1.5987188600177,1,3.2698876076559,1.5987188600177,0.62702809870591,0.82668298924815,1.3354645895672,1.5281905507102,1.3240163232508,1.0898819745936
LK_1,2025-11-25,1,1357,1923,9,6,motivation,2.2483674170244,1,3.8793692808397,0.92005754699185,1.3286242458599,1.7062788099646,2.2483674170244,0.80813662063469,1.4363401521987,1.3247854509162
LK_1,2025-11-25,1,1524,2092,11,4,kognition,2.0311230831007,1,3.8229300313861,2.0311230831007,0.795,1.1914013414792,1.309239540005,1.5922099905934,1.6023228558313,1.273260196548
LK_1,2025-11-25,1,1525,2093,11,6,performanz,2.3430856296886,1,4.6290043360953,2.1052768272758,0.94686856057371,0.66009931164733,1.9082046730985,1.8878673572624,2.3430856296886,1.7227480810552
LK_1,2025-11-25,1,1527,2095,9,6,kognition,1.7426836415184,1,4.0273551720063,1.7426836415184,1.1055566091224,1.2382604748483,1.6911017735723,1.4885099981387,1.6325666011183,1.6390052035608
LK_1,2025-11-25,1,1619,2190,10,7,performanz,2.0351302970378,1,4.1967909784104,1.8960709613111,0.70774699502078,1.0720178087608,1.7362576411326,1.5786571324032,2.0351302970378,1.6490412884093
LK_1,2025-11-25,1,1620,2191,6,4,performanz,-1.4557534081463,-1,2.4124386989978,-0.51539251160988,-0.38324094142425,-0.62915212486842,-0.90878098071492,-0.6101486142422,-1.4557534081463,-1.3015924217236
LK_1,2025-11-25,1,1622,2193,8,3,kognition,1.8497956426329,1,2.9898402914902,1.8497956426329,0.78229803971869,1.1215455010172,0.98402269147006,1.2107842329307,1.0691960509694,0.26470210400545
LK_1,2025-11-25,1,1820,2391,5,4,performanz,1.7164060286624,1,3.4484593132687,1.1080388053562,0.58349749219582,0.55046933226021,1.6249044399904,1.3351822456517,1.7164060286624,1.6283611726224
LK_1,2025-11-25,1,1821,2392,9,5,kognition,1.7353414214652,1,2.9737596993293,1.7353414214652,0.31864094658265,0.79666131289137,0.68944243262771,1.2775293460538,1.425802689087,0.97739971038524
LK_1,2025-11-25,1,1909,2482,8,4,performanz,1.9872466272531,1,4.0865439516009,1.4518121651117,0.795,1.0163487511138,1.8908786014017,1.4871094925001,1.9872466272531,1.7863447137261
LK_1,2025-11-25,1,1910,2483,6,4,performanz,-1.4557534081463,-1,2.4124386989978,-0.51539251160988,-0.38324094142425,-0.62915212486842,-0.90878098071492,-0.6101486142422,-1.4557534081463,-1.3015924217236
LK_1,2025-11-25,1,1911,2484,8,3,kognition,2.1505046567471,1,3.4817423048328,2.1505046567471,1.0,0.54328868359034,1.0,1.7444801733812,1.2281028171672,0.807
LK_1,2025-11-25,1,1912,2485,8,4,performanz,-1.8678011768233,-1,2.0803045232068,-0.49970554609004,0.21294133072726,-0.31785981462974,-0.60071439180982,-0.26334744177003,-1.8678011768233,0.11265661381714
LK_other,2025-11-25,19,1427,1994,6,4,performanz,1.4780206620485,1,3.1813676431278,1.3901781638681,1.0,0.14947056594351,1.3684649877052,1.2462230879908,1.4780206620485,1.2473370908871
LK_other,2025-11-25,19,1429,1996,10,6,motivation,2.077295229358,1,4.2514112502238,1.4157873684202,1.595094405023,1.6164883237065,2.077295229358,1.2106635759954,1.6751119819945,1.5250643160073
LK_other,2025-11-25,28,2134,2709,9,7,performanz,2.1659452350244,1,4.4608733210844,1.9647173009529,0.65587279346505,0.96367130509822,1.8981146802954,1.6821906615382,2.1659452350244,1.8858742498315
LK_other,2025-11-25,28,2137,2712,8,3,kognition,1.8497956426329,1,2.9898402914902,1.8497956426329,0.78229803971869,1.1215455010172,0.98402269147006,1.2107842329307,1.0691960509694,0.26470210400545
LK_other,2025-11-25,28,2138,2713,4,3,kognition,1.1445707517198,1,2.5532415782961,1.1445707517198,0.83209190615359,1.0582176518976,1.0466564857278,0.92081749463506,0.86021364709414,0.84465178398232
LK_1,2025-11-26,1,1146,1708,9,5,kognition,2.1968760487267,1,4.0593204219849,2.1968760487267,0.85818958322187,1.3657693071152,1.230484128694,1.7145402350358,1.6738851709707,1.3395416304639
LK_1,2025-11-26,1,1148,1710,4,4,regulation,2.0480729564787,1,3.7564296776183,1.6024110035178,0.37797572377749,0.33608420779208,1.5828727749366,1.3578525183541,1.6563128140268,2.0480729564787
LK_1,2025-11-26,1,1212,1775,9,6,motivation,0.85498642040099,1,1.600398327724,0.53440185173481,0.72680209387836,0.74363029726615,0.85498642040099,0.29926869591014,0.58117728932394,0.19008312002503
LK_1,2025-11-26,1,1422,1989,9,5,kognition,2.2065262410316,1,3.9027212950711,2.2065262410316,0.30051506820394,1.1795308876966,1.2467162179745,1.6755727127168,1.6994290791481,1.2770938080566
LK_1,2025-11-26,1,1423,1990,4,3,kognition,0.98839899068732,1,1.7153428201091,0.98839899068732,0.44252160463623,0.64564756941829,0.55663094922796,0.71490294032865,0.57452271231824,0.44920117602696
LK_1,2025-11-26,1,1424,1991,11,5,regulation,1.4781625990444,1,3.1190211612631,1.1018298274862,1.0,-0.10688088164332,1.4660871528477,1.3630100350502,1.1448440715668,1.4781625990444
