pair_id,strategies,teilnehmer_id,gruppe_id,lehrer_datum,teilnehmer_datum,day_delta_tn_minus_lk,abs_day_delta,recursive_lag_rank,ue_match,dominance_match,polarity_match,cosine_similarity,cosine_klasse,match_score,lehrer_dichte,teilnehmer_dichte,dichte_delta_lk_minus_tn,lk_dominante_dimension,tn_dominante_dimension,emotion_valenz,emotion_aktivierung,lk_kognition,tn_kognition,delta_kognition,lk_sozial,tn_sozial,delta_sozial,lk_affektiv,tn_affektiv,delta_affektiv,lk_motivation,tn_motivation,delta_motivation,lk_methodik,tn_methodik,delta_methodik,lk_performanz,tn_performanz,delta_performanz,lk_regulation,tn_regulation,delta_regulation
LK00354__TN00328,recursive_lag_1,10,5,2025-12-11,2026-02-04,55,55,1.0,False,False,True,0.9279214712758159,hoch,0.6301784067834009,3.96363241737,1.9924406282039,1.9711917891661,motivation,methodik,0.50846153846154,0.53076923076923,0.43220026440709003,0.39938187827911,0.03281838612798005,0.2533414763215025,0.47499533292399,-0.2216538566024875,0.29436622740027,0.24865838789279,0.04570783950748003,0.38476982238338253,0.24149611266405,0.14327370971933254,0.360327530403145,0.50189701281064,-0.141569482407495,0.385245286998245,0.44120249033122,-0.05595720333297499,0.4320090213800375,0.21945827110155,0.2125507502784875
LK00354__TN00134,semantic_neighborhood,10,5,2025-12-11,2025-10-29,-43,43,,False,False,True,0.9084878593680309,hoch,0.6248342804894811,3.96363241737,1.9324725746579,2.0311598427121,motivation,methodik,0.41608695652174,0.52173913043478,0.43220026440709003,0.41177540673775,0.020424857669340046,0.2533414763215025,0.48142718261835,-0.2280857062968475,0.29436622740027,0.20948126597948,0.08488496142079002,0.38476982238338253,0.21302885173051,0.17174097065287253,0.360327530403145,0.51747176782551,-0.15714423742236494,0.385245286998245,0.4548937866001,-0.06964849960185499,0.4320090213800375,0.18627882637957,0.2457301950004675
LK00354__TN00225,semantic_neighborhood,10,5,2025-12-11,2025-11-26,-15,15,,False,False,True,0.8878779673711052,hoch,0.620514030426871,3.96363241737,1.8243494110294,2.1392830063406,motivation,methodik,0.23571428571429,0.50714285714286,0.43220026440709003,0.38952971025535,0.04267055415174004,0.2533414763215025,0.51963729850711,-0.26629582218560754,0.29436622740027,0.14508182180479,0.14928440559548,0.38476982238338253,0.19162538950133,0.19314443288205252,0.360327530403145,0.54814061023957,-0.18781307983642492,0.385245286998245,0.42066604971874,-0.03542076272049499,0.4320090213800375,0.20750085019785,0.2245081711821875
LK00354__TN00185,semantic_neighborhood,10,5,2025-12-11,2025-11-12,-29,29,,False,False,True,0.8697591194916093,hoch,0.6141964300014074,3.96363241737,1.8093409162582,2.1542915011118,motivation,methodik,0.16235294117647,0.54411764705882,0.43220026440709003,0.43979809070858,-0.007597826301489974,0.2533414763215025,0.4868913163625,-0.2335498400409975,0.29436622740027,0.12039719552831,0.17396903187196,0.38476982238338253,0.18397282791891,0.20079699446447252,0.360327530403145,0.55268744019527,-0.19235990979212503,0.385245286998245,0.44472059141294,-0.05947530441469501,0.4320090213800375,0.13391485083684,0.29809417054319753
LK00132__TN00046,semantic_neighborhood,13,2,2025-10-07,2025-09-22,-15,15,,False,False,True,0.9101212759311731,hoch,0.6266309402808897,4.0354081927899,1.9508428720646,2.0845653207253,regulation,methodik,0.8,0.4625,0.4544685082491,0.29447173477583,0.15999677347327002,0.06755660769978,0.35659057093627,-0.28903396323649,0.14591211561303202,0.36228155312923,-0.21636943751619797,0.3720824213854075,0.34395389257872,0.02812852880668748,0.43331915039980506,0.51259894572089,-0.07927979532108498,0.45408890971264004,0.35524299029029,0.09884591942235005,0.4489975108029025,0.38421620976988,0.06478130103302249
LK00018__TN00097,recursive_lag_1;semantic_neighborhood,13,4,2025-09-03,2025-10-07,34,34,1.0,False,False,True,0.8556078830263506,hoch,0.6102945612905577,4.098171634194225,2.3166081162212,1.7815635179730247,kognition,performanz,,,0.5336236996037624,0.38758058980755,0.14604310979621243,-0.002336778902035,0.38168325481671,-0.384020033718745,0.10450873572134026,0.38088139923937,-0.2763726635180297,0.3318722759854475,0.38849902722415,-0.05662675123870248,0.4512241373322275,0.25899935148277,0.1922247858494575,0.4502663997684625,0.43166558580462,0.0186008139638425,0.4093009952143425,0.39329531151087,0.016005683703472495
LK00043__TN00097,recursive_lag_1;semantic_neighborhood,13,4,2025-09-10,2025-10-07,27,27,1.0,False,False,True,0.9711675190746377,hoch,0.6420957497063428,3.75692665078426,2.3166081162212,1.4403185345630596,kognition,performanz,,,0.44786847774802807,0.38758058980755,0.06028788794047807,0.233300982292706,0.38168325481671,-0.14838227252400402,0.264032699297156,0.38088139923937,-0.11684869994221397,0.420176867238082,0.38849902722415,0.031677840013932035,0.388249515413936,0.25899935148277,0.129250163931166,0.424639402453474,0.43166558580462,-0.00702618335114602,0.38305441845377397,0.39329531151087,-0.010240893057096023
LK00094__TN00097,recursive_lag_1;semantic_neighborhood,13,4,2025-09-24,2025-10-07,13,13,1.0,False,False,True,0.9196176434182051,hoch,0.6305195976873946,3.1257601185823,2.3166081162212,0.8091520023610999,kognition,performanz,,,0.579042657835394,0.38758058980755,0.191462068027844,0.14073990096450842,0.38168325481671,-0.24094335385220159,0.24075601933355664,0.38088139923937,-0.14012537990581334,0.326995094466312,0.38849902722415,-0.061503932757838,0.41173802915642,0.25899935148277,0.15273867767365001,0.391182287188936,0.43166558580462,-0.040483298615684005,0.2801067315214844,0.39329531151087,-0.11318857998938558
LK00210__TN00097,semantic_neighborhood,13,4,2025-11-05,2025-10-07,-29,29,,False,True,True,0.8574954675800642,hoch,0.7108239257257325,3.1067784056220336,2.3166081162212,0.7901702894008333,performanz,performanz,,,0.21530950370153998,0.38758058980755,-0.17227108610601002,0.034035993104996,0.38168325481671,-0.347647261711714,0.03743638114052433,0.38088139923937,-0.34344501809884564,0.13227601892947669,0.38849902722415,-0.25622300829467326,0.17157751792491002,0.25899935148277,-0.08742183355785996,0.1375274265258,0.43166558580462,-0.29413815927882003,0.08597127497932666,0.39329531151087,-0.30732403653154333
LK00240__TN00097,semantic_neighborhood,13,4,2025-11-12,2025-10-07,-36,36,,False,False,True,0.9226657006649323,hoch,0.628734296525327,2.908045268533675,2.3166081162212,0.5914371523124746,methodik,performanz,,,0.49760293018100255,0.38758058980755,0.11002234037345254,0.11065332828058852,0.38168325481671,-0.27102992653612146,0.2159168097973425,0.38088139923937,-0.16496458944202746,0.35088815077212,0.38849902722415,-0.037610876452029984,0.44892944509417754,0.25899935148277,0.18993009361140756,0.4213099089692275,0.43166558580462,-0.010355676835392513,0.36715518375155,0.39329531151087,-0.02614012775932001
